cell_type_l2	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
HSPC	0.007411366502012415	0.0010454915520632401	0.00020119135129885324	-0.0005243992228966519	0.00011676503852906828	3.600872373432724e-05	0.00026925654917746793	-0.0006683433268551118	-0.00041738920579764867	4.271805404176167e-05	-0.00010594733810698611	-0.00023918841971311413	0.0003918810208820899	3.5621531852623936e-05	-0.0002671478409511839	-5.709674064109828e-05	-0.0002560854435203994	-5.050149222120311e-05	0.00026333160833456204	0.0003736228968221451	-0.0001465536170431673	0.0001287296099453758	1.5012061768509644e-05	-0.0001381788178290239	-0.00014178465547909786	1.876658372948492e-05	6.915695393172175e-05	-0.00018262529557190002	-3.853322341228874e-05	-0.00011812950741675624	-0.00013196648492971736
ILC2	0.011385470865421028	0.0004397283929637854	0.0005219391059970999	-0.000908675120207354	-0.0001774351536308568	-0.000732857990743807	0.003149918148907523	0.00011983135428765292	-0.0006413066015180722	0.00033573362300980526	-0.0005865469514370919	0.0004926171795889266	0.00024247025830043324	0.00026262141946068645	-0.0002203765545769184	-0.00020155002122533016	-0.0002438984230724177	-9.513283012877453e-05	0.00015278835774581328	0.0002964840909394199	-5.978697257009849e-05	-5.241346999177216e-05	-6.275725520061624e-05	-6.779047889803628e-05	-9.218015244722924e-05	-0.00013858170375178933	-7.665314088387188e-05	0.00015544785338278855	-9.615570286259541e-05	7.389250823448757e-05	-3.615876648848228e-05
MAIT	0.011612308522965471	-0.0016582880968606223	0.0008055701349600476	-4.303714241178948e-05	-0.0009394102758696126	4.5425288066363216e-05	0.00020654519948595942	0.0002929263906588062	0.0002448408184561339	-0.0001935372348958266	-4.7171416270047443e-05	-0.0007839481057789468	-4.067767661914353e-05	3.355433065846179e-05	0.00012562072937548523	0.00024044856769218757	0.00014058213065772714	-2.2204025426348397e-05	3.187515378784266e-05	-7.706045628947914e-05	0.00016907767377560801	-0.0001676821339512131	-9.524453309938934e-05	0.00019460201450449512	1.4617831492184402e-05	8.13780594521465e-05	2.2817000738790087e-05	2.4167023806833757e-05	-0.00011021938889953738	-0.00018341944555206414	-0.00014310946038606446
MK	0.011104486288165849	-0.0010354020606154228	0.001511577675709333	0.0005271801507114897	0.0004278450807342052	0.0011699075930056018	0.00027298026727415206	5.8416707613976025e-05	0.0011655666406966407	-5.880077851357829e-05	0.0011917799156362467	0.00040064002016499995	7.939371783168638e-06	0.00034688649740817967	-3.974067460411064e-05	-0.0005082185577916235	-0.0001153855628808076	-1.6078238567470372e-05	-0.00010170585893053706	0.00012339258392990907	-9.453963573044905e-05	-9.394920903687045e-05	-0.00028863880685377273	0.000102179549795816	0.00014700364704698176	-0.00019836027520414394	0.00011996612233064659	-0.00010165221508679983	0.0001450482138675287	-2.0623957774440198e-05	0.00038256930872995054
CD56_dim_NK	0.011451549530332415	-0.0010883423501769054	0.002602256528507862	0.0010154526920887255	0.0015277951156856962	-0.0004890425335387833	-0.00019047550242273437	-0.0006992605990708115	-0.0006744005961120788	8.268419819195873e-05	-0.0001058992731983123	5.131079585873521e-05	-7.483781212102646e-05	-8.0558526831095e-05	0.00010555346501922627	-8.121439663590961e-05	-9.241055802050398e-05	1.900569464362623e-05	-0.00019218915200494056	-0.0001610686885604771	-0.00023575653104966897	-3.878551114530214e-05	-3.8307441940246434e-05	4.201305166999267e-05	-8.007992158475491e-05	8.088154582597689e-05	4.914898519184673e-06	1.5343999064079e-05	5.764709867509853e-05	6.573126249388268e-05	-6.371357830293984e-05
NKT	0.011542285493397485	-0.0014832405246550484	0.002784061936677337	0.0005503696196377745	0.0003656894767450453	-0.0007983385739267451	-0.0009481886001636974	-0.00015874939679389483	-0.00035408560868755443	-6.391338378310727e-06	-0.0001793382359536563	0.00012176925033016691	4.945053335913365e-05	-5.5400106102924445e-05	-0.00012103336355518465	5.826861186921043e-05	8.166228258837652e-05	0.00011239326771351239	-4.9018515552557755e-05	0.00011175920213714917	4.586216246149309e-05	6.311720893159503e-05	5.178198958048155e-05	-1.1650992228411103e-05	4.1045214298067977e-05	0.0001158729680856456	-0.0001028461433247183	0.00021665204264640167	-0.00010949781520840139	0.00014697590207587736	1.5004649759191044e-05
CD56_bright_NK	0.010424463477426855	-0.00042510447644192014	0.0021917697022263943	0.00026100972490139036	-0.0007404811585577167	-0.000371939440352183	0.002208856604828467	-0.0008566539609713383	-0.00048756080009796385	0.00013862758244207162	-0.0008036931078668589	0.00022004744583275598	-2.9578444752623788e-05	3.170220647977162e-05	0.00011832173728920887	5.2860314413264345e-06	0.0001316297080031767	-5.3966349234756156e-05	3.837472630972024e-05	5.282484745537661e-06	-2.0844301287484518e-06	8.545680785803668e-05	-0.0001243365086746146	-4.335452141152202e-05	5.6485617042462724e-05	-2.828795080550225e-05	2.6793396487803326e-05	6.765837103636146e-05	5.3532313297826215e-05	-8.479123370369903e-05	1.9646326129417737e-05
Total_Plasma	0.0126709363756982	7.088334293563951e-05	-0.0006478728917437976	-0.0004875490120772184	0.00145758058979498	-0.001640308443438144	0.0003822829882664796	0.0005535720867102912	-0.00014466693450652127	-2.0401041502029007e-05	0.00018413016914504952	1.8559721691519143e-05	0.00020659581267302204	-4.284424644331776e-05	-3.82714751629039e-06	-1.9540414665625343e-05	5.365712906654522e-05	2.229731727133953e-05	5.308867224973573e-05	-8.105879489577391e-05	3.761137813978786e-05	6.489940043294108e-05	3.1213890521657935e-05	-3.2191195683163016e-05	1.0903994629110131e-05	7.182337227978975e-05	4.816196285954993e-06	-0.00011680816099566005	-2.4717216982149293e-05	-0.00010175660042014478	-6.734513956369089e-05
Transitional_B	0.009733168800870795	0.003046151696759614	-0.0010537633276237529	0.002558802235559046	-0.000619646719178734	-0.0002182230620524587	-9.519250801886594e-05	-0.0002593101144789498	7.263286860526221e-05	-2.363626532774964e-05	0.00011510872811886359	0.00018010077201693734	-1.4972554146364787e-05	9.122980811552169e-05	1.9625811865545734e-05	-6.845198107356333e-05	-7.183065804499109e-05	0.00011000995110696373	3.155760760310415e-05	5.215095215159461e-05	3.2159710550473286e-05	-4.0398655915326625e-05	-7.699626444127895e-05	-6.91822920379677e-05	-0.00015718926548150949	4.968815323600399e-06	1.9605777744811935e-05	-0.00010844900267445769	-2.544869093258774e-05	-8.464659844078985e-05	-5.0837636017328384e-05
Transitional_NK	0.011137528139683057	-0.0008605500560107305	0.002629291036038056	0.0005250019555179026	-0.00043105605914566474	-0.0006824863501738053	0.0012462719103714442	-0.000709074436397782	-0.00012355764970617644	0.00011576815075303243	-0.0004487929380222581	7.604286342460672e-05	-0.0002128615486158094	-3.1275600544765915e-05	0.0002530044270615899	8.302826898963477e-05	0.00010054687204929602	2.808428824835969e-05	-4.5391061770479234e-05	-0.00018439337131309917	8.410867700777147e-05	9.157175364370398e-05	1.0919268295023657e-05	-7.252124422869017e-05	4.914596104693039e-05	-3.5932430783925825e-05	-1.9383870052292254e-05	-4.324734499846231e-05	-5.571944846146961e-05	5.700318523680835e-05	7.580349187424138e-05
